id,name,provenance_url,last_modified,last_modified_raw,status,error,method,previous_error
dc/base/EthiopiaStatistics,EthiopiaStatistics,https://ethiopia.opendataforafrica.org/data/#menu=topic,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Egypt_Census,Egypt_Census,https://egypt.opendataforafrica.org,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/India_NFHS,India_NFHS,"https://ndap.niti.gov.in/dataset/6821, https://ndap.niti.gov.in/dataset/7034, https://ndap.niti.gov.in/dataset/6822",,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Indonesia_Census,Indonesia_Census,https://www.bps.go.id/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Kenya_Census,Kenya_Census,https://kenya.opendataforafrica.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/NITIIndiaPopulationProjection,NITIIndiaPopulationProjection,"https://ndap.niti.gov.in/dataset/7208, https://ndap.niti.gov.in/dataset/7209",,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/NigeriaStatistics,NigeriaStatistics,https://nigeria.opendataforafrica.org,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/OECD_Air_GHG_emissions,OECD_Air_GHG_emissions,https://data.oecd.org/air/air-and-ghg-emissions.htm,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/OECD_Waste_Water_Treatment,OECD_Waste_Water_Treatment,https://www.oecd.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/OneOrg_Debt,OneOrg_Debt,https://data.one.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Rwanda_Census,Rwanda_Census,https://rwanda.opendataforafrica.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/SouthAfrica_Census,SouthAfrica_Census,https://southafrica.opendataforafrica.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Uganda_Census,Uganda_Census,https://uganda.opendataforafrica.org/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Copernicus_ECMWF_ERA5_Monthly,Copernicus_ECMWF_ERA5_Monthly,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Copernicus_ECMWF_ERA5_Monthly_AggrYearsStats,Copernicus_ECMWF_ERA5_Monthly_AggrYearsStats,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/BLS_QCEW,BLS_QCEW,https://www.bls.gov/qcew/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/CDCPM25,CDCPM25,https://data.cdc.gov/Environmental-Health-Toxicology/Daily-PM2-5-Concentrations-All-County-2001-2016/7vdq-ztk9,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/CDCWonder_NNDSS_InfectiousAnnual,CDCWonder_NNDSS_InfectiousAnnual,https://wonder.cdc.gov/nndss/nndss_annual_tables_menu.asp,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/India_GeoSadak,India_GeoSadak,https://geosadak-pmgsy.nic.in/,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/India_UPIStatistics,India_UPIStatistics,https://www.npci.org.in/statistics,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
dc/base/MexicoCensus,MexicoCensus,https://www.inegi.org.mx/temas/,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/SouthKorea_Health,SouthKorea_Health,https://kosis.kr/eng/statisticsList/statisticsListIndex.do,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/SouthKorea_Employment,SouthKorea_Employment,https://kosis.kr/eng/statisticsList/statisticsListIndex.do,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/FBIHateCrime,FBIHateCrime,https://www.fbi.gov/services/cjis/ucr/hate-crime,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/SouthKorea_Education,SouthKorea_Education,https://kosis.kr/eng/,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/SouthKorea_Demographics,SouthKorea_Demographics,https://kosis.kr/eng/statisticsList/statisticsListIndex.do,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/Vietnam_Census,Vietnam_Census,https://www.gso.gov.vn/en/homepage/,,,ERROR,TIMEOUT,,TIMEOUT
dc/base/FireFAMWEB,FireFAMWEB,https://fam.nwcg.gov/fam-web/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,CONNECTION_ERROR
