id,prov_id,provenance_url
198,dc_import_198,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
199,dc_import_199,https://www.fec.gov/data/browse-data/?tab=bulk-data
200,dc_import_200,https://waterdata.usgs.gov/nwis/wu
201,dc_import_201,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
202,dc_import_202,https://oui.doleta.gov/unemploy/DataDownloads.asp
203,dc_import_203,https://gis.cdc.gov/grasp/diabetes/DiabetesAtlas.html
204,dc_import_204,https://www.eia.gov/opendata/qb.php
205,dc_import_205,https://opportunityinsights.org/data/
206,dc_import_206,https://www.deadiversion.usdoj.gov/arcos/retail_drug_summary/arcos-drug-summary-reports.html
207,dc_import_207,https://www.census.gov/programs-surveys/acs
208,dc_import_208,https://www.eda.gov/performance/tools
209,dc_import_209,https://www.census.gov/programs-surveys/economic-census/about.html
210,dc_import_210,https://coastwatch.noaa.gov/cwn/index.html
211,dc_import_211,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
212,dc_import_212,https://ethiopia.opendataforafrica.org/
213,dc_import_213,https://datacommons.org/
214,dc_import_214,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019/
215,dc_import_215,https://kenya.opendataforafrica.org/
216,dc_import_216,https://kosis.kr/eng/statisticsList/statisticsListIndex.do
217,dc_import_217,#N/A
218,dc_import_218,https://cotedivoire.opendataforafrica.org/
219,dc_import_219,https://www.cbs.gov.il/en/Statistics/Pages/Generators/Time-Series-DataBank.aspx?level_1=4
220,dc_import_220,https://www.bps.go.id/indikator/indikator/list_/da_03/
221,dc_import_221,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt
222,dc_import_222,https://admin.bayanat.ae/Dataset/DownloadDatasetResource?fileId=26585eaf-9a9c-486d-b773-fc51ef0204c9&resourceID=11243
223,dc_import_223,https://unstats.un.org/sdgs/dataportal
224,dc_import_224,https://climatetrace.org/inventory
225,dc_import_225,#N/A
226,dc_import_226,https://www.ncei.noaa.gov/pub/data/nidis/gpcc/spi-pearson
227,dc_import_227,https://climatetrace.org/inventory
228,dc_import_228,https://data-explorer.oecd.org/vis?df[ds]=DisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_LIFE_EXP&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&pd=%2C&to[TIME_PERIOD]=false&vw=tb
229,dc_import_229,https://www.abs.gov.au/statistics
230,dc_import_230,https://dashboard.e-stat.go.jp/graphSearch/graphSearchResult?selectedLFieldCd=02
231,dc_import_231,https://www.1212.mn/en/statcate
232,dc_import_232,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php
233,dc_import_233,https://data-explorer.oecd.org/vis?pg=0&snb=1&tm=pop%20density&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_DENSITY&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&pd=%2C&to[TIME_PERIOD]=false&vw=tb
234,dc_import_234,https://databank.worldbank.org/source/subnational-population
235,dc_import_235,https://uganda.opendataforafrica.org/
236,dc_import_236,https://data.worldbank.org
237,dc_import_237,https://ec.europa.eu/eurostat/web/health/data/database
238,dc_import_238,https://www.gov.br/inpe/pt-br/acesso-a-informacao/dados-abertos/
239,dc_import_239,https://data.oecd.org/air/air-and-ghg-emissions.htm
240,dc_import_240,https://www.cso.ie/en/statistics/
241,dc_import_241,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast
242,dc_import_242,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
243,dc_import_243,https://databank.worldbank.org/source/international-debt-statistics
